Job Role,Job Description,Title,Location
Software Engineer,We are looking for a skilled Software Engineer to join our team. You will be responsible for developing and maintaining web applications using Python and React. The ideal candidate should have 3+ years of experience in software development.,Software Engineer,Bengaluru
Data Scientist,"Join our data science team to work on cutting-edge machine learning projects. You will analyze large datasets, build predictive models, and collaborate with cross-functional teams to drive data-driven decisions.",Data Scientist,Remote
Frontend Developer,"Looking for an experienced Frontend Developer to build modern, responsive web applications. You will work with React, TypeScript, and modern CSS frameworks to create exceptional user experiences.",Frontend Developer,Remote
DevOps Engineer,"We need a DevOps Engineer to manage our cloud infrastructure and CI/CD pipelines. Experience with AWS, Kubernetes, and automation tools is required.",DevOps Engineer,Pune
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques.,Machine Learning Engineer,Remote
Full Stack Developer,Full-stack development role working on both frontend and backend. MERN stack experience preferred. Build scalable web applications for enterprise clients.,Full Stack Developer,Hyderabad
Python Developer,"Python development position focusing on backend APIs and data processing. Experience with Django, Flask, and data libraries like Pandas required.",Python Developer,Chennai
DevOps Engineer,"We need a junior DevOps Engineer to manage our cloud infrastructure and CI/CD pipelines. Experience with AWS, Azure, Kubernetes, and automation tools is required.",Junior DevOps Engineer,New York
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this mid-level position.",Mid-Level Data Engineer,Hyderabad
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques as a junior member of the team.,Junior Machine Learning Engineer,Austin
Frontend Developer,"Looking for an experienced principal Frontend Developer to build modern, responsive web applications. You will work with React, TypeScript, and modern CSS frameworks to create exceptional user experiences.",Principal Frontend Developer,Delhi NCR
Data Scientist,"Join our data science team to work on cutting-edge machine learning projects. You will analyze large datasets, build predictive models, and collaborate with cross-functional teams to drive data-driven decisions at a junior level.",Junior Data Scientist,Remote
Python Developer,"Python development position focusing on backend APIs and data processing. Experience with Django, Flask, and data libraries like Pandas required for this mid-level role.",Mid-Level Python Developer,Gurgaon
Software Engineer,"We are looking for a skilled principal Software Engineer to join our team. You will be responsible for developing and maintaining web applications using Python, Java, or React. The ideal candidate should have relevant experience in software development.",Principal Software Engineer,Hyderabad
Cloud Architect,"Design cloud-based architectures that are scalable, reliable, and secure. Provide technical leadership and guidance on cloud migration strategies.",Mid-Level Cloud Architect,Noida
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this junior position.",Junior Data Engineer,London
Full Stack Developer,"Full-stack development role working on both frontend and backend. Experience with MERN stack, Python, or Java preferred. Build scalable web applications for enterprise clients.",Lead Full Stack Developer,Mumbai
Product Manager,"Drive product strategy, roadmap expansion, and feature definition. Collaborate with engineering, design, and marketing to deliver impactful products as a junior Product Manager.",Junior Product Manager,Remote
Cyber Security Analyst,"Monitor, detect, and respond to security threats and incidents. Implement security measures, conduct vulnerability assessments, and protect our infrastructure.",Junior Cyber Security Analyst,Mumbai
QA Automation Engineer,"Develop and execute automated test scripts using Selenium, Cypress, or Playwright. Maintain high software quality standards and ensure seamless delivery cycles.",Principal QA Automation Engineer,Chennai
Data Scientist,"Join our data science team to work on cutting-edge machine learning projects. You will analyze large datasets, build predictive models, and collaborate with cross-functional teams to drive data-driven decisions at a lead level.",Lead Data Scientist,Gurgaon
DevOps Engineer,"We need a lead DevOps Engineer to manage our cloud infrastructure and CI/CD pipelines. Experience with AWS, Azure, Kubernetes, and automation tools is required.",Lead DevOps Engineer,Remote
UI/UX Designer,"Create beautiful, intuitive user interfaces and user experiences. Conduct user research, wireframing, and high-fidelity prototyping using Figma or Adobe XD.",Principal UI/UX Designer,Mumbai
Python Developer,"Python development position focusing on backend APIs and data processing. Experience with Django, Flask, and data libraries like Pandas required for this junior role.",Junior Python Developer,Bengaluru
Backend Engineer,"Seeking a senior Backend Engineer to design, build, and maintain efficient, reusable, and reliable code for our core services and APIs using Go, Java, or Node.js.",Senior Backend Engineer,Remote
Backend Engineer,"Seeking a junior Backend Engineer to design, build, and maintain efficient, reusable, and reliable code for our core services and APIs using Go, Java, or Node.js.",Junior Backend Engineer,Delhi NCR
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this lead position.",Lead Data Engineer,Austin
QA Automation Engineer,"Develop and execute automated test scripts using Selenium, Cypress, or Playwright. Maintain high software quality standards and ensure seamless delivery cycles.",Mid-Level QA Automation Engineer,Mumbai
QA Automation Engineer,"Develop and execute automated test scripts using Selenium, Cypress, or Playwright. Maintain high software quality standards and ensure seamless delivery cycles.",Mid-Level QA Automation Engineer,Austin
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this junior position.",Junior Data Engineer,San Francisco
Full Stack Developer,"Full-stack development role working on both frontend and backend. Experience with MERN stack, Python, or Java preferred. Build scalable web applications for enterprise clients.",Principal Full Stack Developer,New York
Backend Engineer,"Seeking a mid-level Backend Engineer to design, build, and maintain efficient, reusable, and reliable code for our core services and APIs using Go, Java, or Node.js.",Mid-Level Backend Engineer,Noida
Cyber Security Analyst,"Monitor, detect, and respond to security threats and incidents. Implement security measures, conduct vulnerability assessments, and protect our infrastructure.",Senior Cyber Security Analyst,Austin
Backend Engineer,"Seeking a senior Backend Engineer to design, build, and maintain efficient, reusable, and reliable code for our core services and APIs using Go, Java, or Node.js.",Senior Backend Engineer,London
Data Scientist,"Join our data science team to work on cutting-edge machine learning projects. You will analyze large datasets, build predictive models, and collaborate with cross-functional teams to drive data-driven decisions at a mid-level level.",Mid-Level Data Scientist,Bengaluru
Product Manager,"Drive product strategy, roadmap expansion, and feature definition. Collaborate with engineering, design, and marketing to deliver impactful products as a lead Product Manager.",Lead Product Manager,Chennai
Frontend Developer,"Looking for an experienced mid-level Frontend Developer to build modern, responsive web applications. You will work with React, TypeScript, and modern CSS frameworks to create exceptional user experiences.",Mid-Level Frontend Developer,San Francisco
Product Manager,"Drive product strategy, roadmap expansion, and feature definition. Collaborate with engineering, design, and marketing to deliver impactful products as a mid-level Product Manager.",Mid-Level Product Manager,Austin
Site Reliability Engineer,"Focus on infrastructure reliability, scalability, and performance optimization. Blend software engineering with systems administration to keep services running smoothly.",Lead Site Reliability Engineer (SRE),Austin
Mobile Developer,"Build native or cross-platform mobile applications using Swift, Kotlin, or Flutter. Ensure excellent performance, responsiveness, and user experience on mobile devices.",Mid-Level Mobile Developer (iOS/Android),Chennai
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques as a mid-level member of the team.,Mid-Level Machine Learning Engineer,New York
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this principal position.",Principal Data Engineer,Delhi NCR
Cyber Security Analyst,"Monitor, detect, and respond to security threats and incidents. Implement security measures, conduct vulnerability assessments, and protect our infrastructure.",Senior Cyber Security Analyst,Hyderabad
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques as a principal member of the team.,Principal Machine Learning Engineer,Noida
Frontend Developer,"Looking for an experienced junior Frontend Developer to build modern, responsive web applications. You will work with React, TypeScript, and modern CSS frameworks to create exceptional user experiences.",Junior Frontend Developer,Remote
Machine Learning Engineer,Build and deploy machine learning models at scale. Work on computer vision and natural language processing projects with state-of-the-art techniques as a mid-level member of the team.,Mid-Level Machine Learning Engineer,London
Cloud Architect,"Design cloud-based architectures that are scalable, reliable, and secure. Provide technical leadership and guidance on cloud migration strategies.",Principal Cloud Architect,Remote
Cyber Security Analyst,"Monitor, detect, and respond to security threats and incidents. Implement security measures, conduct vulnerability assessments, and protect our infrastructure.",Lead Cyber Security Analyst,San Francisco
Mobile Developer,"Build native or cross-platform mobile applications using Swift, Kotlin, or Flutter. Ensure excellent performance, responsiveness, and user experience on mobile devices.",Principal Mobile Developer (iOS/Android),Chennai
Software Engineer,"We are looking for a skilled junior Software Engineer to join our team. You will be responsible for developing and maintaining web applications using Python, Java, or React. The ideal candidate should have relevant experience in software development.",Junior Software Engineer,Austin
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this senior position.",Senior Data Engineer,Remote
UI/UX Designer,"Create beautiful, intuitive user interfaces and user experiences. Conduct user research, wireframing, and high-fidelity prototyping using Figma or Adobe XD.",Lead UI/UX Designer,Pune
Mobile Developer,"Build native or cross-platform mobile applications using Swift, Kotlin, or Flutter. Ensure excellent performance, responsiveness, and user experience on mobile devices.",Junior Mobile Developer (iOS/Android),New York
Data Engineer,"Design and build robust data pipelines, data warehouses, and ETL processes. Experience with Spark, Hadoop, SQL, and cloud data platforms is highly valued for this principal position.",Principal Data Engineer,London
Full Stack Developer,"Full-stack development role working on both frontend and backend. Experience with MERN stack, Python, or Java preferred. Build scalable web applications for enterprise clients.",Principal Full Stack Developer,Remote
